level_0,index,school_id,name,logo_url,area,address,postal_code,website,parent_volunteer,type_sap,type_boys-only,type_girls-only,type_gep,affiliations,logo_url2,moe_url,googlemap_url,review_num,review_rating_avg
155,155,west-grove,West Grove Primary School,https://sgschooling.com/img/logo/west-grove.jpg,Jurong West,1 Jurong West St 72 S649223,649223,http://www.westgrovepri.moe.edu.sg/,,false,false,false,false,,West Grove Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=west-grove-primary-school,"https://www.google.com/maps/place/West+Grove+Primary+School/@1.3445677,103.6964308,17z/data=!3m1!4b1!4m6!3m5!1s0x31da0f9655efb98f:0x17f8fd9c221a9cfb!8m2!3d1.3445677!4d103.6990057!16s%2Fg%2F11bbt8bttq?entry=ttu",36,4.27777777777778
156,156,west-spring,West Spring Primary School,https://sgschooling.com/img/logo/west-spring.jpg,Bukit Panjang,60 Bukit Panjang Ring Road S679946,679946,http://www.westspringpri.moe.edu.sg,,false,false,false,false,,West Spring Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=west-spring-primary-school,"https://www.google.com/maps/place/West+Spring+Primary+School/@1.3896611,103.7639427,17z/data=!3m1!4b1!4m6!3m5!1s0x31da119a4ba614e1:0x642e410838242466!8m2!3d1.3896611!4d103.7665176!16s%2Fg%2F11b6hgdlff?entry=ttu",17,4.35294117647059
157,157,west-view,West View Primary School,https://sgschooling.com/img/logo/west-view.jpg,Bukit Panjang,31 Senja Road S677742,677742,http://www.westviewpri.moe.edu.sg,,false,false,false,false,,West View Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=west-view-primary-school,"https://www.google.com/maps/place/West+View+Primary+School/@1.3837275,103.757567,17z/data=!3m1!4b1!4m6!3m5!1s0x31da11bd865166e7:0xc5c31911ae5bb2ce!8m2!3d1.3837275!4d103.7601419!16s%2Fg%2F1tdzchg1?entry=ttu",26,4.57692307692308
158,158,westwood,Westwood Primary School,https://sgschooling.com/img/logo/westwood.jpg,Jurong West,1 Jurong West Street 73 S649188,649188,http://www.westwoodpri.moe.edu.sg,,false,false,false,false,,Westwood Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=westwood-primary-school,"https://www.google.com/maps/place/Westwood+Primary+School/@1.3472361,103.6978959,17z/data=!3m1!4b1!4m6!3m5!1s0x31da0fbe0d3c0bcd:0x2e8967c43cd3a1e!8m2!3d1.3472361!4d103.7004708!16s%2Fg%2F1yl46_vj3?entry=ttu",29,4.41379310344828
159,159,white-sands,White Sands Primary School,https://sgschooling.com/img/logo/white-sands.jpg,Pasir Ris,2 Pasir Ris St 11 S519075,519075,http://www.whitesandspri.moe.edu.sg,,false,false,false,false,,White Sands Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=white-sands-primary-school,"https://www.google.com/maps/place/White+Sands+Primary+School/@1.3654493,103.9584965,17z/data=!3m2!4b1!5s0x31da3c552ec98247:0x41023e24967d1887!4m6!3m5!1s0x31da3c553be4b43d:0xaec80217e0455405!8m2!3d1.3654493!4d103.9610714!16s%2Fg%2F1tgb4wm8?entry=ttu",29,4.13793103448276
160,160,woodgrove,Woodgrove Primary School,https://sgschooling.com/img/logo/woodgrove.jpg,Woodlands,2 Woodlands Drive 14 S738079,738079,http://www.woodgrovepri.moe.edu.sg/,,false,false,false,false,,Woodgrove Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=woodgrove-primary-school,"https://www.google.com/maps/place/Woodgrove+Primary+School/@1.4334662,103.7879555,17z/data=!3m2!4b1!5s0x31da13a44f0fa4e3:0xeff2885ee5a7ab83!4m6!3m5!1s0x31da13a448f29cb9:0xcc4607983950a3c!8m2!3d1.4334662!4d103.7905304!16s%2Fg%2F1hhwwfxl0?entry=ttu",21,3.33333333333333
161,161,woodlands,Woodlands Primary School,https://sgschooling.com/img/logo/woodlands.jpg,Woodlands,10 Woodlands Drive 50 S738853,738853,http://www.woodlandspri.moe.edu.sg,,false,false,false,false,,Woodlands Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=woodlands-primary-school,"https://www.google.com/maps/place/Woodlands+Primary+School/@1.436771,103.7892191,17z/data=!3m2!4b1!5s0x31da13a6d92d05c7:0x1133ec72303b02a!4m6!3m5!1s0x31da13ad7fe28ee5:0x7fcae73321ef6465!8m2!3d1.436771!4d103.791794!16s%2Fg%2F1q5bkx3qt?entry=ttu",20,3.9
162,162,woodlands-ring,Woodlands Ring Primary School,https://sgschooling.com/img/logo/woodlands-ring.jpg,Woodlands,11 Woodlands Ring Road S738240,738240,http://www.woodlandsringpri.moe.edu.sg,,false,false,false,false,,Woodlands Ring Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=woodlands-ring-primary-school,"https://www.google.com/maps/place/Woodlands+Ring+Primary+School/@1.4345519,103.7953245,17z/data=!3m2!4b1!5s0x31da13a1f8706feb:0xd5b689c94efd9d91!4m6!3m5!1s0x31da13a1f8fdb863:0x2714fdd32249a68f!8m2!3d1.4345519!4d103.7978994!16s%2Fm%2F0463krc?entry=ttu",20,3.75
163,163,xinghua,Xinghua Primary School,https://sgschooling.com/img/logo/xinghua.jpg,Hougang,45 Hougang Avenue 1 S538882,538882,http://www.xinghuapri.moe.edu.sg,,false,false,false,false,,Xinghua Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=xinghua-primary-school,"https://www.google.com/maps/place/Xinghua+Primary+School/@1.357958,103.8875669,17z/data=!3m2!4b1!5s0x31da17b63e296d09:0x9c4c28a349c74728!4m6!3m5!1s0x31da1644cbb79f99:0x1cf10e3e2277f94d!8m2!3d1.357958!4d103.8901418!16s%2Fm%2F02vrbv9?entry=ttu",25,4.04
164,164,xingnan,Xingnan Primary School,https://sgschooling.com/img/logo/xingnan.jpg,Jurong West,5 Jurong West Street 91 S649036,649036,http://www.xingnanpri.moe.edu.sg,,false,false,false,false,,Xingnan Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=xingnan-primary-school,"https://www.google.com/maps/place/Xingnan+Primary+School/@1.3425489,103.6845168,17z/data=!3m1!4b1!4m6!3m5!1s0x31da0f9ec45ccdd1:0x52573f11c7f49e89!8m2!3d1.3425489!4d103.6870917!16s%2Fm%2F0dgr22y?entry=ttu",32,4.34375
