index,school_id,year,category,1,2A(1),2A(2),2B,2C,2C(S),3,Total,sort_id
88,ahmad-ibrahim,2011,taken,54,0,4,1,72,32,0,163,3
89,ahmad-ibrahim,2011,vacancy,0,0,0,61,124,53,21,180,1
90,ahmad-ibrahim,2012,applied,0,0,0,1,90,11,0,0,2
91,ahmad-ibrahim,2012,ballot,,,,,,,,,4
92,ahmad-ibrahim,2012,odds,,,,1,1,1,1,,5
93,ahmad-ibrahim,2012,taken,42,6,7,1,90,11,0,157,3
94,ahmad-ibrahim,2012,vacancy,0,0,0,63,124,34,23,180,1
95,ahmad-ibrahim,2013,applied,0,0,0,2,73,41,0,0,2
96,ahmad-ibrahim,2013,ballot,,,,,,,,,4
97,ahmad-ibrahim,2013,odds,,,,1,1,1,,,5
98,ahmad-ibrahim,2013,taken,54,0,6,2,73,46,0,181,3
99,ahmad-ibrahim,2013,vacancy,0,0,0,60,118,46,0,180,1
100,ahmad-ibrahim,2014,applied,0,0,0,0,53,20,0,0,2
101,ahmad-ibrahim,2014,ballot,,,,,,,,,4
102,ahmad-ibrahim,2014,odds,,,,1,1,1,1,,5
103,ahmad-ibrahim,2014,taken,59,2,7,0,53,20,0,141,3
104,ahmad-ibrahim,2014,vacancy,0,0,0,56,112,59,39,180,1
105,ahmad-ibrahim,2015,applied,0,0,0,0,52,11,0,0,2
106,ahmad-ibrahim,2015,ballot,,,,,,,,,4
107,ahmad-ibrahim,2015,odds,,,,1,1,1,1,,5
108,ahmad-ibrahim,2015,taken,56,0,6,0,52,11,0,125,3
109,ahmad-ibrahim,2015,vacancy,0,0,0,59,119,67,56,180,1
110,ahmad-ibrahim,2016,applied,0,0,0,1,47,12,0,0,2
111,ahmad-ibrahim,2016,ballot,,,,,,,,,4
112,ahmad-ibrahim,2016,odds,,,,1,1,1,1,,5
113,ahmad-ibrahim,2016,taken,46,0,13,0,47,12,0,118,3
114,ahmad-ibrahim,2016,vacancy,0,0,0,61,121,74,62,180,1
115,ahmad-ibrahim,2017,applied,0,0,0,0,49,23,0,0,2
116,ahmad-ibrahim,2017,ballot,,,,,,,,,4
117,ahmad-ibrahim,2017,odds,,,,1,1,1,1,,5
118,ahmad-ibrahim,2017,taken,46,0,5,0,49,23,0,123,3
119,ahmad-ibrahim,2017,vacancy,0,0,0,65,129,80,57,180,1
120,ahmad-ibrahim,2018,applied,0,0,0,0,50,37,0,0,2
121,ahmad-ibrahim,2018,ballot,,,,,,,,,4
122,ahmad-ibrahim,2018,odds,,,,1,1,1,1,,5
123,ahmad-ibrahim,2018,taken,55,0,8,0,50,37,0,150,3
124,ahmad-ibrahim,2018,vacancy,0,0,0,74,147,97,60,210,1
125,ahmad-ibrahim,2019,applied,49,1,7,0,32,9,0,0,2
126,ahmad-ibrahim,2019,ballot,,,,,,,,,4
127,ahmad-ibrahim,2019,odds,,,,,,,,,5
128,ahmad-ibrahim,2019,taken,49,1,7,0,32,9,0,98,3
129,ahmad-ibrahim,2019,vacancy,200,151,150,92,183,151,142,240,1
130,ahmad-ibrahim,2020,applied,38,1,7,0,31,14,0,0,2
131,ahmad-ibrahim,2020,ballot,,,,,,,,,4
132,ahmad-ibrahim,2020,odds,,,,,,,,,5
133,ahmad-ibrahim,2020,taken,38,1,7,0,31,14,0,91,3
134,ahmad-ibrahim,2020,vacancy,200,162,161,97,194,163,149,240,1
135,ahmad-ibrahim,2021,applied,40,0,6,0,26,12,0,0,2
136,ahmad-ibrahim,2021,ballot,,,,,,,,,4
137,ahmad-ibrahim,2021,odds,,,,,,,,,5
138,ahmad-ibrahim,2021,taken,40,0,6,0,26,12,0,84,3
139,ahmad-ibrahim,2021,vacancy,170,130,130,82,164,138,126,210,1
140,ahmad-ibrahim,2022,applied,56,5,0,0,31,20,0,0,2
141,ahmad-ibrahim,2022,ballot,,,,,,,,,4
142,ahmad-ibrahim,2022,odds,,,,,,,,,5
143,ahmad-ibrahim,2022,taken,56,5,0,0,31,20,0,112,3
144,ahmad-ibrahim,2022,vacancy,130,74,0,43,129,98,78,190,1
145,ahmad-ibrahim,2023,applied,54,10,0,0,27,15,0,0,2
146,ahmad-ibrahim,2023,ballot,,,,,,,,,4
147,ahmad-ibrahim,2023,odds,,,,,,,,,5
148,ahmad-ibrahim,2023,taken,54,10,0,0,27,15,0,106,3
149,ahmad-ibrahim,2023,vacancy,160,106,0,52,157,130,115,220,1
150,ai-tong,2009,applied,0,0,0,65,64,0,0,0,2
151,ai-tong,2009,ballot,,,,,,,,,4
152,ai-tong,2009,odds,,,,0.692307692307692,0.75,,,,5
153,ai-tong,2009,taken,144,29,68,45,48,0,0,334,3
154,ai-tong,2009,vacancy,0,0,0,45,48,0,0,330,1
155,ai-tong,2010,applied,0,0,0,56,68,0,0,0,2
156,ai-tong,2010,ballot,,,,,,,,,4
157,ai-tong,2010,odds,,,,0.660714285714286,0.544117647058823,,,,5
158,ai-tong,2010,taken,149,34,73,37,37,0,0,330,3
159,ai-tong,2010,vacancy,0,0,0,37,37,0,0,330,1
160,ai-tong,2011,applied,0,0,0,61,68,0,0,0,2
161,ai-tong,2011,ballot,,,,,,,,,4
162,ai-tong,2011,odds,,,,0.327868852459016,0.294117647058824,,,,5
163,ai-tong,2011,taken,144,39,107,20,20,0,0,330,3
164,ai-tong,2011,vacancy,0,0,0,20,20,0,0,330,1
165,ai-tong,2012,applied,0,0,0,49,58,0,0,0,2
166,ai-tong,2012,ballot,,,,,,,,,4
167,ai-tong,2012,odds,,,,0.408163265306122,0.344827586206897,,,,5
168,ai-tong,2012,taken,150,60,80,20,20,0,0,330,3
169,ai-tong,2012,vacancy,0,0,0,20,20,0,0,330,1
170,ai-tong,2013,applied,0,0,0,25,38,0,0,0,2
171,ai-tong,2013,ballot,,,,,,,,,4
172,ai-tong,2013,odds,,,,0.32,0.184210526315789,,,,5
