index,school_id,name,logo_url,area,address,postal_code,website,parent_volunteer,type_sap,type_boys-only,type_girls-only,type_gep,affiliations,logo_url2,moe_url
124,river-valley,River Valley Primary School,https://sgschooling.com/img/logo/river-valley.jpg,Central,2 River Valley Green S237993,237993,http://www.rivervalleypri.moe.edu.sg,,false,false,false,false,,River Valley Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=river-valley-primary-school
125,riverside,Riverside Primary School,https://sgschooling.com/img/logo/riverside.jpg,Woodlands,110 Woodlands Crescent S737803,737803,http://www.riversidepri.moe.edu.sg,40h,false,false,false,false,,Riverside Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=riverside-primary-school
126,rivervale,Rivervale Primary School,https://sgschooling.com/img/logo/rivervale.jpg,Sengkang,80 Rivervale Drive S545092,545092,http://www.rivervalepri.moe.edu.sg/,,false,false,false,false,,Rivervale Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=rivervale-primary-school
140,rosyth,Rosyth School,https://sgschooling.com/img/logo/rosyth.jpg,Serangoon,21 Serangoon North Avenue 4 S555855,555855,https://www.rosyth.moe.edu.sg,"70h, interview",false,false,false,true,,Rosyth School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=rosyth-school
127,rulang,Rulang Primary School,https://sgschooling.com/img/logo/rulang.jpg,Jurong West,6 Jurong West Street 52 S649295,649295,http://www.rulangpri.moe.edu.sg/,Email the school,false,false,false,false,,Rulang Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=rulang-primary-school
128,sembawang,Sembawang Primary School,https://sgschooling.com/img/logo/sembawang.jpg,Sembawang,10 Sembawang Drive S757715,757715,http://www.sembawangpri.moe.edu.sg,,false,false,false,false,,Sembawang Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=sembawang-primary-school
129,seng-kang,Seng Kang Primary School,https://sgschooling.com/img/logo/seng-kang.jpg,Sengkang,21 Compassvale Walk S545166,545166,http://www.sengkangpri.moe.edu.sg/,,false,false,false,false,,Seng Kang Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=seng-kang-primary-school
130,sengkang-green,Sengkang Green Primary School,https://sgschooling.com/img/logo/sengkang-green.jpg,Sengkang,15 Fernvale Road S797636,797636,https://sengkanggreenpri.moe.edu.sg/,,false,false,false,false,,Sengkang Green Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=sengkang-green-primary-school
131,shuqun,Shuqun Primary School,https://sgschooling.com/img/logo/shuqun.jpg,Jurong West,8 Jurong West Street 51 S649332,649332,http://www.shuqunpri.moe.edu.sg,,false,false,false,false,,Shuqun Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=shuqun-primary-school
132,si-ling,Si Ling Primary School,https://sgschooling.com/img/logo/si-ling.jpg,Woodlands,61 Woodlands Avenue 1 S739067,739067,http://www.silingpri.moe.edu.sg,,false,false,false,false,,Si Ling Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=si-ling-primary-school
133,singapore-chinese-girls,Singapore Chinese Girls' Primary School,https://sgschooling.com/img/logo/singapore-chinese-girls.jpg,Novena,190 Dunearn Road S309437,309437,http://www.scgs.moe.edu.sg,40h,false,false,true,false,Singapore Chinese Girls’ School,Singapore Chinese Girls' Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=singapore-chinese-girls-primary-school
134,south-view,South View Primary School,https://sgschooling.com/img/logo/south-view.jpg,Choa Chu Kang,6 Choa Chu Kang Central S689762,689762,http://www.southviewpri.moe.edu.sg,,false,false,false,false,,South View Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=south-view-primary-school
135,springdale,Springdale Primary School,https://sgschooling.com/img/logo/springdale.jpg,Sengkang,71 Anchorvale Link S544799,544799,http://springdalepri.moe.edu.sg/,40h,false,false,false,false,,Springdale Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=springdale-primary-school
136,st-andrew-junior,St. Andrew's Junior School,https://sgschooling.com/img/logo/st-andrew-junior.jpg,Toa Payoh,2 Francis Thomas Drive S359337,359337,http://www.saintandrewsjunior.moe.edu.sg,,false,true,false,false,St. Andrew’s Secondary School,St. Andrew's Junior School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=st-andrews-junior-school
