index,school_id,language,level
905,woodlands-ring,Tamil,Regular
906,woodlands-ring,Tamil,Higher
907,xinghua,Chinese,Regular
908,xinghua,Chinese,Higher
909,xinghua,Malay,Regular
910,xinghua,Malay,Higher
911,xinghua,Tamil,Regular
912,xinghua,Tamil,Higher
913,xingnan,Chinese,Regular
914,xingnan,Chinese,Higher
915,xingnan,Malay,Regular
916,xingnan,Malay,Higher
917,xingnan,Tamil,Regular
918,xingnan,Tamil,Higher
919,xinmin,Chinese,Regular
920,xinmin,Malay,Regular
921,xinmin,Tamil,Regular
922,xinmin,Tamil,Higher
923,xishan,Chinese,Regular
924,xishan,Chinese,Higher
925,xishan,Malay,Regular
926,xishan,Malay,Higher
927,xishan,Tamil,Regular
928,xishan,Tamil,Higher
929,yangzheng,Chinese,Regular
930,yangzheng,Chinese,Higher
931,yangzheng,Malay,Regular
932,yangzheng,Malay,Higher
933,yangzheng,Tamil,Regular
934,yangzheng,Tamil,Higher
935,yew-tee,Chinese,Regular
936,yew-tee,Chinese,Higher
937,yew-tee,Malay,Regular
938,yew-tee,Malay,Higher
939,yew-tee,Tamil,Regular
940,yew-tee,Tamil,Higher
941,yio-chu-kang,Chinese,Regular
942,yio-chu-kang,Chinese,Higher
943,yio-chu-kang,Malay,Regular
944,yio-chu-kang,Malay,Higher
945,yio-chu-kang,Tamil,Regular
946,yio-chu-kang,Tamil,Higher
947,yishun,Chinese,Regular
948,yishun,Chinese,Higher
949,yishun,Malay,Regular
950,yishun,Malay,Higher
951,yishun,Tamil,Regular
952,yishun,Tamil,Higher
953,yu-neng,Chinese,Regular
954,yu-neng,Chinese,Higher
955,yu-neng,Malay,Regular
956,yu-neng,Tamil,Regular
957,yuhua,Chinese,Regular
958,yuhua,Chinese,Higher
959,yuhua,Malay,Regular
960,yuhua,Malay,Higher
961,yuhua,Tamil,Regular
962,yuhua,Tamil,Higher
963,yumin,Chinese,Regular
964,yumin,Chinese,Higher
965,yumin,Malay,Regular
966,yumin,Malay,Higher
967,yumin,Tamil,Regular
968,zhangde,Chinese,Regular
969,zhangde,Malay,Regular
970,zhangde,Malay,Higher
971,zhangde,Tamil,Regular
972,zhangde,Tamil,Higher
973,zhenghua,Chinese,Regular
974,zhenghua,Chinese,Higher
975,zhenghua,Malay,Regular
976,zhenghua,Malay,Higher
977,zhenghua,Tamil,Regular
978,zhenghua,Tamil,Higher
979,zhonghua,Chinese,Regular
980,zhonghua,Chinese,Higher
981,zhonghua,Malay,Regular
982,zhonghua,Malay,Higher
983,zhonghua,Tamil,Regular
984,zhonghua,Tamil,Higher
