index,school_id,year,phase,applied,vacancy,ballot,odds
129,ahmad-ibrahim,2010,2A(1),0,0,,
130,ahmad-ibrahim,2010,2A(2),0,0,,
131,ahmad-ibrahim,2010,2B,0,61,,1
132,ahmad-ibrahim,2010,2C,58,123,,1
133,ahmad-ibrahim,2010,2C(S),11,66,,1
134,ahmad-ibrahim,2010,3,0,54,,1
135,ahmad-ibrahim,2010,Total,0,180,,1
136,ahmad-ibrahim,2011,1,0,0,,
137,ahmad-ibrahim,2011,2A(1),0,0,,
138,ahmad-ibrahim,2011,2A(2),0,0,,
139,ahmad-ibrahim,2011,2B,1,61,,1
140,ahmad-ibrahim,2011,2C,72,124,,1
141,ahmad-ibrahim,2011,2C(S),32,53,,1
142,ahmad-ibrahim,2011,3,0,21,,1
143,ahmad-ibrahim,2011,Total,0,180,,1
144,ahmad-ibrahim,2012,1,0,0,,
145,ahmad-ibrahim,2012,2A(1),0,0,,
146,ahmad-ibrahim,2012,2A(2),0,0,,
147,ahmad-ibrahim,2012,2B,1,63,,1
148,ahmad-ibrahim,2012,2C,90,124,,1
149,ahmad-ibrahim,2012,2C(S),11,34,,1
150,ahmad-ibrahim,2012,3,0,23,,1
151,ahmad-ibrahim,2012,Total,0,180,,1
152,ahmad-ibrahim,2013,1,0,0,,
153,ahmad-ibrahim,2013,2A(1),0,0,,
154,ahmad-ibrahim,2013,2A(2),0,0,,
155,ahmad-ibrahim,2013,2B,2,60,,1
156,ahmad-ibrahim,2013,2C,73,118,,1
157,ahmad-ibrahim,2013,2C(S),41,46,,1
158,ahmad-ibrahim,2013,3,0,0,,
159,ahmad-ibrahim,2013,Total,0,180,,1
160,ahmad-ibrahim,2014,1,0,0,,
161,ahmad-ibrahim,2014,2A(1),0,0,,
162,ahmad-ibrahim,2014,2A(2),0,0,,
163,ahmad-ibrahim,2014,2B,0,56,,1
164,ahmad-ibrahim,2014,2C,53,112,,1
165,ahmad-ibrahim,2014,2C(S),20,59,,1
166,ahmad-ibrahim,2014,3,0,39,,1
167,ahmad-ibrahim,2014,Total,0,180,,1
168,ahmad-ibrahim,2015,1,0,0,,
169,ahmad-ibrahim,2015,2A(1),0,0,,
170,ahmad-ibrahim,2015,2A(2),0,0,,
171,ahmad-ibrahim,2015,2B,0,59,,1
172,ahmad-ibrahim,2015,2C,52,119,,1
173,ahmad-ibrahim,2015,2C(S),11,67,,1
174,ahmad-ibrahim,2015,3,0,56,,1
175,ahmad-ibrahim,2015,Total,0,180,,1
176,ahmad-ibrahim,2016,1,0,0,,
177,ahmad-ibrahim,2016,2A(1),0,0,,
178,ahmad-ibrahim,2016,2A(2),0,0,,
179,ahmad-ibrahim,2016,2B,1,61,,1
180,ahmad-ibrahim,2016,2C,47,121,,1
181,ahmad-ibrahim,2016,2C(S),12,74,,1
182,ahmad-ibrahim,2016,3,0,62,,1
183,ahmad-ibrahim,2016,Total,0,180,,1
184,ahmad-ibrahim,2017,1,0,0,,
185,ahmad-ibrahim,2017,2A(1),0,0,,
186,ahmad-ibrahim,2017,2A(2),0,0,,
187,ahmad-ibrahim,2017,2B,0,65,,1
188,ahmad-ibrahim,2017,2C,49,129,,1
189,ahmad-ibrahim,2017,2C(S),23,80,,1
190,ahmad-ibrahim,2017,3,0,57,,1
191,ahmad-ibrahim,2017,Total,0,180,,1
192,ahmad-ibrahim,2018,1,0,0,,
193,ahmad-ibrahim,2018,2A(1),0,0,,
194,ahmad-ibrahim,2018,2A(2),0,0,,
195,ahmad-ibrahim,2018,2B,0,74,,1
196,ahmad-ibrahim,2018,2C,50,147,,1
197,ahmad-ibrahim,2018,2C(S),37,97,,1
198,ahmad-ibrahim,2018,3,0,60,,1
199,ahmad-ibrahim,2018,Total,0,210,,1
200,ahmad-ibrahim,2019,1,49,200,,1
201,ahmad-ibrahim,2019,2A(1),1,151,,1
202,ahmad-ibrahim,2019,2A(2),7,150,,1
203,ahmad-ibrahim,2019,2B,0,92,,1
204,ahmad-ibrahim,2019,2C,32,183,,1
205,ahmad-ibrahim,2019,2C(S),9,151,,1
206,ahmad-ibrahim,2019,3,0,142,,1
207,ahmad-ibrahim,2019,Total,0,240,,1
208,ahmad-ibrahim,2020,1,38,200,,1
209,ahmad-ibrahim,2020,2A(1),1,162,,1
210,ahmad-ibrahim,2020,2A(2),7,161,,1
211,ahmad-ibrahim,2020,2B,0,97,,1
212,ahmad-ibrahim,2020,2C,31,194,,1
213,ahmad-ibrahim,2020,2C(S),14,163,,1
214,ahmad-ibrahim,2020,3,0,149,,1
215,ahmad-ibrahim,2020,Total,0,240,,1
216,ahmad-ibrahim,2021,1,40,170,,1
217,ahmad-ibrahim,2021,2A(1),0,130,,1
218,ahmad-ibrahim,2021,2A(2),6,130,,1
219,ahmad-ibrahim,2021,2B,0,82,,1
220,ahmad-ibrahim,2021,2C,26,164,,1
221,ahmad-ibrahim,2021,2C(S),12,138,,1
222,ahmad-ibrahim,2021,3,0,126,,1
223,ahmad-ibrahim,2021,Total,0,210,,1
224,ahmad-ibrahim,2022,1,56,130,,1
225,ahmad-ibrahim,2022,2A(1),5,74,,1
226,ahmad-ibrahim,2022,2A(2),0,0,,
227,ahmad-ibrahim,2022,2B,0,43,,1
228,ahmad-ibrahim,2022,2C,31,129,,1
229,ahmad-ibrahim,2022,2C(S),20,98,,1
230,ahmad-ibrahim,2022,3,0,78,,1
231,ahmad-ibrahim,2022,Total,0,190,,1
232,ahmad-ibrahim,2023,1,54,160,,1
233,ahmad-ibrahim,2023,2A(1),10,106,,1
234,ahmad-ibrahim,2023,2A(2),0,0,,
235,ahmad-ibrahim,2023,2B,0,52,,1
236,ahmad-ibrahim,2023,2C,27,157,,1
237,ahmad-ibrahim,2023,2C(S),15,130,,1
238,ahmad-ibrahim,2023,3,0,115,,1
239,ahmad-ibrahim,2023,Total,0,220,,1
240,ai-tong,2009,1,0,0,,
241,ai-tong,2009,2A(1),0,0,,
242,ai-tong,2009,2A(2),0,0,,
243,ai-tong,2009,2B,65,45,,0.692307692307692
